pageKey,label,path,title,description,keywords,ogTitle,ogDescription,ogImage,twitterTitle,twitterDescription,twitterImage,canonicalUrl,robots,isActive
home,Home,/,Charotar Education Society — Leading Educational Trust in Gujarat,"Founded in 1916 by Motibhai Amin, Charotar Education Society (CES) manages premier schools, colleges, and institutes across Gujarat, empowering students through quality education.","charotar education society, ces society, education trust gujarat, colleges in anand, schools in vidyanagar, premier education trust",Charotar Education Society | CES | Cesociety,"A charitable education institute in Anand, Gujarat serving generations since 1916 — schools, colleges and hostels offering affordable, high-quality education and holistic development.",https://cesociety.in/android-chrome-512x512.png,Charotar Education Society | CES | Cesociety,"A charitable education institute in Anand, Gujarat serving generations since 1916 — schools, colleges and hostels offering affordable, high-quality education and holistic development.",https://cesociety.in/android-chrome-512x512.png,https://cesociety.in/,"index, follow",TRUE
about,About Us,/about,"About Charotar Education Society — Heritage, Vision & Mission","Learn about the rich 100+ year legacy of Charotar Education Society, our founding visionaries, governing board, and mission to advance education across Gujarat.","about ces, motibhai amin, ces legacy, charotar education society history, ces mission vision","About Charotar Education Society — Heritage, Vision & Mission","Learn about the rich 100+ year legacy of Charotar Education Society, our founding visionaries, governing board, and mission to advance education across Gujarat.",https://cesociety.in/assets/images/hero/about.png,"About Charotar Education Society — Heritage, Vision & Mission","Learn about the rich 100+ year legacy of Charotar Education Society, our founding visionaries, governing board, and mission to advance education across Gujarat.",https://cesociety.in/assets/images/hero/about.png,https://cesociety.in/about,"index, follow",TRUE
academic/colleges,Colleges & Higher Education,/academic/colleges,Degree & Diploma Colleges | Charotar Education Society,"Explore undergraduate and postgraduate colleges under CES offering programs in Science, Arts, Commerce, Pharmacy, Management, and Applied Sciences.","ces colleges, mb patel science college, degree colleges anand, bsc msc colleges gujarat",Degree & Diploma Colleges | Charotar Education Society,"Explore undergraduate and postgraduate colleges under CES offering programs in Science, Arts, Commerce, Pharmacy, Management, and Applied Sciences.",https://cesociety.in/assets/images/hero/college.jpeg,Degree & Diploma Colleges | Charotar Education Society,"Explore undergraduate and postgraduate colleges under CES offering programs in Science, Arts, Commerce, Pharmacy, Management, and Applied Sciences.",https://cesociety.in/assets/images/hero/college.jpeg,https://cesociety.in/academic/colleges,"index, follow",TRUE
academic/hostels,Hostel Facilities,/academic/hostels,Boys & Girls Campus Hostels | Charotar Education Society,"Safe, comfortable, and affordable on-campus hostel accommodation with hygienic dining, 24/7 security, Wi-Fi, and recreation for outstation students.","ces hostels, student accommodation anand, boys hostel, girls hostel vidyanagar",Boys & Girls Campus Hostels | Charotar Education Society,"Safe, comfortable, and affordable on-campus hostel accommodation with hygienic dining, 24/7 security, Wi-Fi, and recreation for outstation students.",https://cesociety.in/assets/images/hero/hostel.jpeg,Boys & Girls Campus Hostels | Charotar Education Society,"Safe, comfortable, and affordable on-campus hostel accommodation with hygienic dining, 24/7 security, Wi-Fi, and recreation for outstation students.",https://cesociety.in/assets/images/hero/hostel.jpeg,https://cesociety.in/academic/hostels,"index, follow",TRUE
academic/others,Other Academic Units,/academic/others,Specialized Learning Centers & Institutes | CES Society,"Explore vocational training centers, community education units, and specialized skill development institutions under Charotar Education Society.","ces institutes, vocational centers, training institutes, skill development gujarat",Specialized Learning Centers & Institutes | CES Society,"Explore vocational training centers, community education units, and specialized skill development institutions under Charotar Education Society.",https://cesociety.in/assets/images/hero/others.jpeg,Specialized Learning Centers & Institutes | CES Society,"Explore vocational training centers, community education units, and specialized skill development institutions under Charotar Education Society.",https://cesociety.in/assets/images/hero/others.jpeg,https://cesociety.in/academic/others,"index, follow",TRUE
academic/school,Schools Network,/academic/school,"Pre-Primary, Primary & Secondary Schools | CES Society","Discover English and Gujarati medium schools managed by Charotar Education Society, nurturing young minds from kindergarten to higher secondary.","ces schools, best schools in anand, english medium schools, cbse gseb schools gujarat","Pre-Primary, Primary & Secondary Schools | CES Society","Discover English and Gujarati medium schools managed by Charotar Education Society, nurturing young minds from kindergarten to higher secondary.",https://cesociety.in/assets/images/hero/school.jpeg,"Pre-Primary, Primary & Secondary Schools | CES Society","Discover English and Gujarati medium schools managed by Charotar Education Society, nurturing young minds from kindergarten to higher secondary.",https://cesociety.in/assets/images/hero/school.jpeg,https://cesociety.in/academic/school,"index, follow",TRUE
achievements,Achievements,/achievements,"Awards, Recognitions & Achievements | Charotar Education Society","Celebrating university gold medals, state and national awards, research publications, and athletic achievements of CES students and faculty.","ces achievements, student awards, university gold medalists, sports recognition","Awards, Recognitions & Achievements | Charotar Education Society","Celebrating university gold medals, state and national awards, research publications, and athletic achievements of CES students and faculty.",https://cesociety.in/android-chrome-512x512.png,"Awards, Recognitions & Achievements | Charotar Education Society","Celebrating university gold medals, state and national awards, research publications, and athletic achievements of CES students and faculty.",https://cesociety.in/android-chrome-512x512.png,https://cesociety.in/achievements,"index, follow",TRUE
activities,Activities & Events,/activities,Co-Curricular & Cultural Activities | Charotar Education Society,"Vibrant student life featuring technical clubs, cultural events, sports tournaments, debating societies, and NSS/NCC youth programs.","student activities, cultural festivals, youth clubs, sports tournaments",Co-Curricular & Cultural Activities | Charotar Education Society,"Vibrant student life featuring technical clubs, cultural events, sports tournaments, debating societies, and NSS/NCC youth programs.",https://cesociety.in/android-chrome-512x512.png,Co-Curricular & Cultural Activities | Charotar Education Society,"Vibrant student life featuring technical clubs, cultural events, sports tournaments, debating societies, and NSS/NCC youth programs.",https://cesociety.in/android-chrome-512x512.png,https://cesociety.in/activities,"index, follow",TRUE
admission,Admissions,/admission,Admissions 2026-27 | Charotar Education Society,"Online admission procedures, eligibility criteria, application forms, and key dates for school and college programs under CES.","ces admissions, college admissions 2026, school admission gujarat, apply online",Admissions 2026-27 | Charotar Education Society,"Online admission procedures, eligibility criteria, application forms, and key dates for school and college programs under CES.",https://cesociety.in/android-chrome-512x512.png,Admissions 2026-27 | Charotar Education Society,"Online admission procedures, eligibility criteria, application forms, and key dates for school and college programs under CES.",https://cesociety.in/android-chrome-512x512.png,https://cesociety.in/admission,"index, follow",TRUE
alumni,Alumni Network,/alumni,Global Alumni Network | Charotar Education Society,"Connect with thousands of distinguished alumni of CES schools and colleges worldwide. Share memories, mentor students, and contribute to your alma mater.","ces alumni, charotar education society alumni, alumni network, alma mater",Global Alumni Network | Charotar Education Society,"Connect with thousands of distinguished alumni of CES schools and colleges worldwide. Share memories, mentor students, and contribute to your alma mater.",https://cesociety.in/assets/images/hero/alumni.jpeg,Global Alumni Network | Charotar Education Society,"Connect with thousands of distinguished alumni of CES schools and colleges worldwide. Share memories, mentor students, and contribute to your alma mater.",https://cesociety.in/assets/images/hero/alumni.jpeg,https://cesociety.in/alumni,"index, follow",TRUE
